COUNTYNAME,DATETIME,DATE,LON,LAT,PK
Camden,3/31/2013 3:49:28 PM,3/31/2013,-74.89685,39.71472,900
Burlington,1/1/2013 6:07:14 PM,1/1/2013,-74.94406,39.91599,901
Atlantic,11/28/2013 2:04:27 PM,11/28/2013,-74.42181,39.36659,902
Atlantic,12/12/2013 8:52:25 PM,12/12/2013,-74.43745,39.35922,903
Atlantic,12/12/2013 2:57:10 PM,12/12/2013,-74.42323,39.36606,904
Atlantic,12/31/2013 7:23:53 PM,12/31/2013,-74.43463,39.35999,905
Burlington,12/12/2013 10:21:22 PM,12/12/2013,-74.99312,39.96209,906
Camden,12/12/2013 9:31:21 PM,12/12/2013,-74.91042,39.74493,907
Camden,8/15/2013 2:07:59 PM,8/15/2013,-75.02053,39.98631,908
Camden,6/20/2013 2:18:44 PM,6/20/2013,-75.08021,39.93505,909
Atlantic,5/12/2013 8:06:33 PM,5/12/2013,-74.42096,39.36402,910
Burlington,6/20/2013 2:47:28 PM,6/20/2013,-75.03692,40.00327,911
Camden,12/31/2013 6:17:42 PM,12/31/2013,-74.93125,39.80746,912
Camden,5/10/2013 2:22:15 PM,5/10/2013,-75.02764,39.9497,913
Camden,12/31/2013 6:00:01 PM,12/31/2013,-74.92978,39.81675,914
Camden,5/10/2013 2:31:17 PM,5/10/2013,-75.02853,39.93975,915
Camden,6/16/2013 6:58:41 PM,6/16/2013,-74.92613,39.83368,916
Camden,3/22/2013 5:04:12 PM,3/22/2013,-75.02958,39.93603,917
Camden,2/11/2013 6:23:48 PM,2/11/2013,-75.02747,39.95014,918
Camden,3/31/2013 12:08:39 PM,3/31/2013,-74.87257,39.6496,919
Camden,5/12/2013 9:41:47 PM,5/12/2013,-75.02302,39.98772,920
Atlantic,9/2/2013 4:55:37 PM,9/2/2013,-74.73452,39.55178,921
Burlington,5/12/2013 9:16:33 PM,5/12/2013,-74.92937,39.89601,922
Atlantic,10/14/2013 4:51:16 PM,10/14/2013,-74.42106,39.36393,923
Atlantic,2/14/2013 2:12:04 PM,2/14/2013,-74.43374,39.35865,924
Camden,1/1/2013 6:17:32 PM,1/1/2013,-75.02238,39.98746,925
Burlington,12/12/2013 10:09:47 PM,12/12/2013,-74.94552,39.91854,926
Burlington,12/12/2013 1:34:18 PM,12/12/2013,-74.93648,39.90458,927
Atlantic,1/1/2014 4:51:01 AM,1/1/2014,-74.43637,39.3589,928
Camden,3/31/2013 4:02:39 PM,3/31/2013,-74.92184,39.85287,929
Burlington,2/14/2013 6:30:17 PM,2/14/2013,-74.99491,39.96279,930
Camden,11/28/2013 8:47:56 PM,11/28/2013,-74.92029,39.79377,931
Burlington,11/28/2013 9:17:04 PM,11/28/2013,-75.00834,39.97284,932
Camden,1/25/2014 2:53:19 PM,1/25/2014,-75.02901,39.93617,933
Camden,10/14/2013 8:27:23 PM,10/14/2013,-74.92836,39.82313,934
Burlington,12/12/2013 1:35:44 PM,12/12/2013,-74.92427,39.88873,935
Camden,2/11/2013 6:30:08 PM,2/11/2013,-75.02215,39.98789,936
Atlantic,3/31/2013 3:13:13 PM,3/31/2013,-74.43402,39.35969,937
Atlantic,12/31/2013 7:22:04 PM,12/31/2013,-74.43936,39.36078,938
Camden,6/16/2013 6:57:00 PM,6/16/2013,-74.92761,39.82626,939
Atlantic,3/31/2013 3:13:50 PM,3/31/2013,-74.43466,39.35941,940
Atlantic,11/28/2013 8:01:23 PM,11/28/2013,-74.43882,39.36063,941
Camden,6/20/2013 2:32:41 PM,6/20/2013,-75.02113,39.97971,942
Camden,6/20/2013 2:21:42 PM,6/20/2013,-75.0765,39.93733,943
Atlantic,10/14/2013 7:40:54 PM,10/14/2013,-74.43719,39.35892,944
Atlantic,3/31/2013 3:39:30 PM,3/31/2013,-74.79372,39.59065,945
Camden,12/12/2013 2:13:33 PM,12/12/2013,-74.90082,39.71711,946
Camden,5/10/2013 4:54:53 PM,5/10/2013,-75.02968,39.9361,947
Atlantic,11/28/2013 3:23:10 PM,11/28/2013,-74.42614,39.361,948
Atlantic,8/6/2013 5:55:14 PM,8/6/2013,-74.42123,39.36295,949
Camden,12/27/2013 6:43:20 PM,12/27/2013,-75.02246,39.94227,950
Burlington,1/25/2014 2:41:23 PM,1/25/2014,-75.03696,40.00273,951
Camden,5/12/2013 8:52:55 PM,5/12/2013,-74.9095,39.78403,952
Camden,5/10/2013 2:25:40 PM,5/10/2013,-75.02713,39.94633,953
Burlington,12/12/2013 12:53:30 PM,12/12/2013,-75.03929,40.00727,954
Camden,12/27/2013 6:44:25 PM,12/27/2013,-75.02443,39.94506,955
Atlantic,10/14/2013 4:53:13 PM,10/14/2013,-74.42637,39.3609,956
